"","X0.995","X0.99","X0.975","X0.95","X0.9","X0.75","X0.5","X0.25","X0.1","X0.05","X0.025","X0.01","X0.005"
" 72",44.8430955902054,47.051025119197,50.4279148346305,53.4623329632962,57.1129491889998,63.5845170043846,71.3344418822824,79.6904194776357,87.7430477490391,92.8082703831077,97.3530547381661,102.816314189141,106.647629918433
" 73",45.6292995917585,47.8577150395935,51.2648132734218,54.3253116014807,58.0060881858032,64.5282097292617,72.3344265456287,80.746703426389,88.8499157707649,93.9453396011922,98.5162620115678,104.009834081875,107.861736108763
" 74",46.4169600814828,48.6657251868662,52.1028291342121,55.1892310819587,58.8999624623371,65.4722908793758,73.3344116275147,81.8025995857818,89.9560483193135,95.0814666692433,99.6783489784724,105.202028029833,109.074377364285
" 75",47.2060477211326,49.4750288949351,52.9419397705329,56.0540722913666,59.7945570480867,66.4167525243484,74.3343971110393,82.8581158605432,91.061460373089,96.2166707535039,100.839338401813,106.392922929672,110.28558336358
" 76",47.9965341435381,50.2856003829238,53.7821232903923,56.919816754712,60.6898574737041,67.3615870000649,75.3343829801991,83.9132598905,92.166166408905,97.350970379033,101.999252283862,107.582544780612,111.495382796113
" 77",48.7883919082278,51.0974147145817,54.623358521559,57.7864466059232,61.5858497478321,68.3067868963229,76.3343692198297,84.9680390628385,93.2701804251896,98.4843834593404,103.158111901347,108.770918725818,112.70380340779
" 78",49.5815944596242,51.9104477600661,55.465624978873,58.6539445601226,62.4825203352875,69.2523450452084,77.3343558155517,86.0224605236463,94.3735159638274,99.6169273242838,104.315937838519,109.958069091353,113.910872043852
" 79",50.3761160876306,52.7246761599178,56.3089028334397,59.5222938875023,63.3798561365081,70.1982545101472,78.3343427537201,87.0765311887853,95.4761861307362,100.74861874635,105.472750018303,111.144019422884,115.116614689292
" 80",51.1719318904452,53.5400772910787,57.1531728835779,60.3914783886895,64.2778444681751,71.144508575584,79.3343300213782,88.1302577541422,96.578203615267,101.879473965436,106.628567731666,112.328792520297,116.321056506969
" 81",51.9690177394512,54.3566292348123,57.9984165273994,61.2614823715007,65.1764730449302,72.0911007372466,80.3343176062149,89.1836467052991,97.679580708507,103.009508712226,107.783409665335,113.512410470361,117.524221873581
" 82",52.7673502460418,55.1743107463973,58.8446157369106,62.1322906289885,66.0757299621113,73.0380246929544,81.3343054965245,90.2367043266655,98.7803293205625,104.138738230274,108.937293927968,114.694894677568,118.726134413634
" 83",53.5669067302521,55.9931012264772,59.6917530335338,63.0038884186955,66.9756036794408,73.9852743339347,82.3342936811707,91.2894367101057,99.8804609968886,105.26717729686,110.090238074889,115.876265893293,119.926817031548
" 84",54.3676651910791,56.8129806939565,60.5398114649554,63.8762614430342,67.8760830056003,74.9328437366132,83.3342821495518,92.341849763097,100.97998693373,106.394840242722,111.24225913147,117.056544243358,121.126291942023
" 85",55.1696042783802,57.6339297603413,61.3887745832115,64.74939583072,68.7771570836352,75.8807271548469,84.3342708915692,93.3939492164482,102.078917992733,107.521740970719,112.393373615268,118.235749254123,122.324580698781
" 86",55.9727032662489,58.455929605434,62.2386264239344,65.6232781191887,69.6788153771351,76.8289190125712,85.3342598975977,94.4457406316084,103.177264714775,108.647892973508,113.543597556981,119.413899877195,123.521704221777
" 87",56.7769420277732,59.2789619542928,63.0893514866826,66.4978952379347,70.5810476571395,77.7774138968337,86.3342491584585,95.4972294075912,104.275037333078,109.773309350288,114.692946520306,120.591014512841,124.717682822992
" 88",57.5823010110912,60.1030090553794,63.9409347162887,67.3732344927132,71.4838439897239,78.7262065511914,87.3342386653935,96.5484207875389,105.372245785628,110.898002822684,115.841435620767,121.767111032187,125.912536230897
" 89",58.3887612166624,60.9280536598184,64.7933614851591,68.2492835505508,72.3871947242225,79.6752918694467,88.3342284100412,97.5993198649504,106.46889972697,112.021985749808,116.989079543581,122.942206798289,127.106283613653
" 90",59.1963041756806,61.7540790017014,65.6466175764689,69.1260304255155,73.2910904820482,80.6246648897032,89.3342183844144,98.6499315895917,107.565008539393,113.145270142555,118.135892560616,124.116318686121,128.298943601145
" 91",60.0049119295591,62.5810687793729,66.500689168196,70.0034634651988,74.1955221460745,81.5743207887196,90.3342085808802,99.700260773111,108.660581343559,114.267867677194,119.281888546496,125.289463101584,129.49053430592
" 92",60.8145670104236,63.4090071376363,67.3555628179437,70.8815713378674,75.1004808505437,82.5242548765446,91.3341989921399,100.750312094373,109.755627008608,115.389789708267,120.427080993918,126.461655999553,130.681073343076
" 93",61.6252524225532,64.2378786508285,68.2112254485064,71.760343020245,76.00595797147,83.4744625914167,92.3341896112111,101.800090104534,110.850154161759,116.511047280874,121.571483028207,127.632912901056,131.870577849188
" 94",62.4369516247142,65.0676683067094,69.0676643341315,72.6397677858847,76.9119451175096,84.4249394949107,93.334180431411,102.849599231867,111.944171197447,117.631651142346,122.715107421172,128.803248909614,133.059064500317
" 95",63.2496485133333,65.8983614911203,69.9248670874403,73.5198351941001,77.8184341212687,85.3756812673199,94.33417144634,103.898843786358,113.037686286029,118.751611753367,123.857966604295,129.972678726799,134.246549529152
" 96",64.0633274064642,66.7299439733658,70.7828216469665,74.400535079421,78.7254170310244,86.3266837032561,95.3341626498674,104.947827964082,114.130707382063,119.870939298567,125.000072681294,131.141216667052,135.433048741346
" 97",64.8779730285005,67.5624018922791,71.6415162652796,75.2818575415437,79.6328861028358,87.2779427074588,96.3341540361171,105.996555851371,115.223242232207,120.98964369661,126.141437440096,132.308876671813,136.61857753108
" 98",65.6935704955937,68.3957217429309,72.5009394976583,76.1637929357491,80.5408337930212,88.229454290799,97.3341455994543,107.045031428795,116.315298382747,122.107734609819,127.282072364255,133.475672322985,137.803150895913
